Title,Writer,Cast
It's a Wonderful Life,"Frances Goodrich, Albert Hackett, Frank Capra","James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi, Frank Faylen, Ward Bond, Gloria Grahame, H.B. Warner, Frank Albertson, Todd Karns, Samuel S. Hinds, Mary Treen, Virginia Patton, Charles Williams, Sarah Edwards, William Edmunds"
Spider-man: Across the Spider-verse,"Phil Lord, Christopher Miller, Dave Callaham","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez, Jake Johnson, Oscar Isaac, Jason Schwartzman, Issa Rae, Daniel Kaluuya, Karan Soni, Shea Whigham, Greta Lee, Mahershala Ali, Amandla Stenberg, Jharrel Jerome, Andy Samberg, Jack Quaid, Rachel Dratch"
Saving Private Ryan,Robert Rodat,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns, Barry Pepper, Adam Goldberg, Vin Diesel, Giovanni Ribisi, Jeremy Davies, Ted Danson, Paul Giamatti, Dennis Farina, Joerg Stadler, Max Martini, Dylan Bruno, Daniel Cerqueira, Demetri Goritsas, Ian Porter"
The Green Mile,"Stephen King, Frank Darabont","Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, James Cromwell, Michael Jeter, Graham Greene, Doug Hutchison, Sam Rockwell, Barry Pepper, Jeffrey DeMunn, Patricia Clarkson, Harry Dean Stanton, Dabbs Greer, Eve Brent, William Sadler, Mack Miles, Rai Tasco"
City of God,"Bráulio Mantovani, Paulo Lins","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Seu Jorge, Jefechander Suplino, Alice Braga, Emerson Gomes, Edson Oliveira, Michel Gomes, Roberta Rodrigues, Luis Otávio, Kiko Marques, Gustavo Engrácia, Darlan Cunha, Robson Rocha"
Terminator 2: Judgment Day,"James Cameron, William Wisher","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen, Joe Morton, S. Epatha Merkerson, Castulo Guerra, Danny Cooksey, Jenette Goldstein, Xander Berkeley, Leslie Hamilton Gearren, Ken Gibbel, Robert Winley, Pete Schrum, Shane Wilder, Michael Edwards, Jared Lounsbery"
Star Wars: Episode IV - A New Hope,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Peter Cushing, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, Phil Brown, Shelagh Fraser, Jack Purvis, Alex McCrindle, Eddie Byrne, Drewe Henley, Denis Lawson, Garrick Hagon, Jack Klaff"
Spirited Away,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi, Mari Natsuki, Takashi Naitô, Yasuko Sawaguchi, Tatsuya Gashûin, Ryunosuke Kamiki, Yumi Tamai, Yô Ôizumi, Koba Hayashi, Tsunehiko Kamijô, Takehiko Ono, Bunta Sugawara, Shigeru Wakita, Shirô Saitô, Michiko Yamamoto"
Life Is Beautiful,"Vincenzo Cerami, Roberto Benigni","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Sergio Bini Bustric, Marisa Paredes, Horst Buchholz, Lidia Alfonsi, Giuliana Lojodice, Amerigo Fontani, Pietro De Silva, Francesco Guzzo, Raffaella Lebboroni, Claudio Alfonsi, Gil Baroni, Massimo Bianchi, Jürgen Bohn, Verena Buratti"
Shichinin No Samurai,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni","Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, Kamatari Fujiwara, Daisuke Katô, Isao Kimura, Minoru Chiaki, Seiji Miyaguchi, Yoshio Kosugi, Bokuzen Hidari, Yoshio Inaba, Yoshio Tsuchiya, Kokuten Kôdô, Eijirô Tôno, Kichijirô Ueda, Jun Tatara, Atsushi Watanabe"
Seppuku,"Yasuhiko Takiguchi, Shinobu Hashimoto","Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba, Masao Mishima, Ichirô Nakatani, Kei Satô, Yoshio Inaba, Hisashi Igawa, Tôru Takeuchi, Yoshirô Aoki, Tatsuo Matsumura, Akiji Kobayashi, Kôichi Hayashi, Ryûtarô Gomi, Jô Azumi, Nakajirô Tomita, Shichisaburô Amatsu"
The Kashmir Files,"Vivek Agnihotri, Saurabh M. Pandey","Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi, Chinmay Mandlekar, Prakash Belawadi, Puneet Issar, Bhasha Sumbli, Sourav Verma, Mrinal Kulkarni, Atul Srivastava, Amaan Iqbal, Meenakshi Chugh, Navneet Gairola, Fasi Khan, Atul Vishnoi"
Earthlings,Shaun Monson,Joaquin Phoenix
A Dog's Will,"Guel Arraes, Adriana Falcão, João Falcão","Matheus Nachtergaele, Selton Mello, Rogério Cardoso, Denise Fraga, Diogo Vilela, Luís Melo, Virginia Cavendish, Bruno Garcia, Enrique Diaz, Maurício Gonçalves, Aramis Trindade, Marco Nanini, Paulo Goulart, Lima Duarte, Fernanda Montenegro"
Kaiva,"Jayathirtha, Raghu Niduvalli","Dharmendra Aras, Agratha Ashok, Anand Babu, Nagaratna Bhat, Dhanveerrah, Geetha, B M Giriraj, Nanda Gopal, Ashwin Hassan, Mahantesh Hiremath, Ramesh Indira, Shivaji Rao Jadhav, Jagadish, J. Karthik, Jayaram Karthik, Mahathi Vijay Kumar, Bhavya M.G., Chikkahejjaji Mahadev"
The Legend of Maula Jatt,"Bilal Lashari, Nasir Adib","Fawad Khan, Mahira Khan, Hamza Ali Abbasi, Humaima Malik, Ali Raza, Ahsan Khan, Babar Ali, Shafqat Cheema, Nayyar Ejaz, Resham, Gohar Rasheed, Ukasha Gul, Faris Shafi, Ali Azmat, Zia Khan, Aftab Haider, Saima Baloch, Raheela Agha"
Pretty village pretty flame,"Vanja Bulic, Srdjan Dragojevic, Biljana Maksic","Dragan Bjelogrlic, Nikola Kojo, Dragan Maksimovic, Zoran Cvijanovic, Milorad Mandic-Manda, Dragan Petrovic-Pele, Lisa Moncure, Nikola Pejakovic, Velimir 'Bata' Zivojinovic, Petar Bozovic, Marko Kovijanic, Dragan Zaric, Admir Sehovic, Milos Djuricic, Vera Dedovic, Branka Katic, Milena Pavlovic, Branko Vidakovic"
Anbe Sivam,"Kamal Haasan, Madan, Mohan Nair","Kamal Haasan, Madhavan, Kiran Rathod, Nassar, Santhana Bharathi, Uma Riyaz Khan, Yugi Sethu, Ilavarasu, Balu Anand, Seema, R.S. Shivaji, Laxmi Rattan, Chelladurai, Hillaary, Jacob, Madhaiyyan, Jaya Murali, Muthukalai"
Lajanje na zvezde,"Zdravko Sotra, Milovan Vitezovic","Dragan Micanovic, Natasa Tapuskovic, Nikola Simic, Velimir 'Bata' Zivojinovic, Aleksandar Bercek, Bogdan Diklic, Dragan Jovanovic, Nikola Djuricko, Isidora Minic, Branimir Brstina, Vesna Trivalic, Maja Sabljic, Dragomir Cumic, Albena Stavreva, Nenad Jezdic, Nebojsa Ilic, Igor Pervic, Petar Cirica"
Pink Floyd: Live at Pompeii,"David Gilmour, Roger Waters, Richard Wright","David Gilmour, Roger Waters, Richard Wright, Nick Mason, Pink Floyd"
Thoovanathumbikal,P. Padmarajan,"Mohanlal, Sumalatha, Parvathi, Ashokan, Babu Namboothiri, Sreenath, Sukumari, Jagathy Sreekumar, Sankaradi, M.G. Soman, Poojappura Radhakrishnan, Santhakumari, Sulakshana, Jayalalitha, Alex Mathew, Anandavally"
Spadikam,"Raajendra Babu, Bhadran","Mohanlal, Thilakan, Urvashi, Sphadikam George, K.P.A.C. Lalitha, Rajan P. Dev, Silk Smitha, Nedumudi Venu, Chippy, V.K. Sriraman, Kollam Ajith, Arya Anup, Ashokan, Bahadur, N.L. Balakrishnan, Bhagyalakshmi, Paravoor Bharathan, Indrans"
Human,"Luis Cancu, Atman, Berthony","Luis Cancu, Atman, Berthony, Bruno, Frezno, Ian, Estima Joseph, Leonard, Maria, Pepe Mujica, Don Mullan, Qusai, Sophie, Tjimuremo, Yevgeny"
Canim Kardesim,Sadik Sendil,"Tarik Akan, Halit Akçatepe, Kahraman Kiral, Metin Akpinar, Adile Nasit, Necdet Yakin, Sitki Akçatepe, Kemal Sunal, Bahri Ates, Renan Fosforoglu, Ahmet Kostarika, Kamer Sadik, Ali Osman Yuksel, Ihsan Yüce"
A tanú,"Péter Bacsó, János Ujhelyi","Ferenc Kállai, Lajos Öze, Zoltán Fábri, Béla Both, Georgette Mertzhradt, Róbert Rátonyi, Károly Bicskey, Lili Monori, László Vámos, Ida Versényi, György Bálint, Pál Bánó, Tibor Fehér, József Iványi, Pál Jákó, György Kézdy, Péter Korbuly, Lajos Mezey"
Hababam Sinifi: Tatilde,"Sadik Sendil, Rifat Ilgaz","Münir Özkul, Kemal Sunal, Adile Nasit, Sener Sen, Aysen Gruda, Sevda Aktolga, Tayfun Akalin, Sitki Akçatepe, Ahmet Ariman, Ertugrul Bilda, Filiz Bozkurt, Talat Dumanli, Sevtap Erdemli, Cem Gürdap, Muharrem Gürses, Ali Ince, Hayri Karabey, Hakki Karadayi"
Chithram,"Priyadarshan, Sreenivasan","Mohanlal, Nedumudi Venu, Renjini, Poornam Vishwanathan, Sreenivasan, M.G. Soman, Thikkurissy Sukumaran Nair, Maniyanpilla Raju, Sukumari, Innocent Vareed Thekkethala, Lizy, Ganesh Kumar, Shanawas, Jagadish, Bhagyalakshmi, Bobby Kottarakkara, Unni Mary"
Poove Unakkaga,Vikraman,"Joseph Vijay, Sangeetha, Anju Aravind, Madhan Bob, Charlie, Jai Ganesh, Hemalatha, Sheela Kaur, Murali, Meesai Murugesan, Nagesh, M.N. Nambiar, Varalakshmi P.R., R.S. Shivaji, Singamuthu, Sukumari, Malaysia Vasudevan, C.R. Vijayakumari"
Gladiator,"David Franzoni, John Logan, William Nicholson","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Derek Jacobi, Djimon Hounsou, David Schofield, John Shrapnel, Tomas Arana, Ralf Moeller, Spencer Treat Clark, David Hemmings, Tommy Flanagan, Sven-Ole Thorsen, Omid Djalili, Nicholas McGaughey, Chris Kell"
Dune: Part Two,"Denis Villeneuve, Jon Spaihts, Frank Herbert","Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem, Josh Brolin, Austin Butler, Florence Pugh, Dave Bautista, Christopher Walken, Léa Seydoux, Stellan Skarsgård, Charlotte Rampling, Souheila Yacoub, Roger Yuan, Babs Olusanmokun, Alison Halstead, Giusi Merli, Kait Tenison"
Alien,"Dan O'Bannon, Ronald Shusett","Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright, Harry Dean Stanton, Ian Holm, Yaphet Kotto, Bolaji Badejo, Helen Horton, Eddie Powell"
Amaran,Rajkumar Periasamy,"Sivakarthikeyan, Sai Pallavi, Bhuvan Arora, Rahul Bose, Lallu, Shreekumar, Umair Lateef, Mir Salman, Geetha Kailasam, Shyamaprasad, Shyam Mohan, Anbu Thasan, Ajaey Naga Raaman, Gaurav Venkatesh, Abhinav Raj, Paul T Baby, Sugamya Shankar, Rohan Surya Kanuma Reddy"
Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Ato Essandoh, Sammi Rotibi, Clay Donahue Fontenot, Escalante Lundy, Miriam F. Glover, Don Johnson"
Parasite,"Bong Joon Ho, Han Jin-won","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik, Park So-dam, Lee Jeong-eun, Jang Hye-jin, Park Myeong-hoon, Jung Ji-so, Jung Hyun-jun, Park Keun-rok, Jung Yi-seo, Jo Jae-myeong, Jung Ik-han, Kim Kyu-baek, Hwang In-kyung, Ahn Seong-bong, Kim Jin-hyung"
Whiplash,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, Austin Stowell, Nate Lang, Chris Mulkey, Damon Gupton, Suanne Spoke, Max Kasch, Charlie Ian, Jayson Blair, Kofi Siriboe, Kavita Patil, C.J. Vana, Tarik Lowe, Tyler Kimball, Rogelio Douglas Jr."
The Departed,"William Monahan, Alan Mak, Felix Chong","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone, Vera Farmiga, Anthony Anderson, Alec Baldwin, Kevin Corrigan, James Badge Dale, David O'Hara, Mark Rolston, Robert Wahlberg, Kristen Dalton, Thomas B. Duffy, Richard Hughes, J.C. MacKenzie"
Léon,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Peter Appel, Willi One Blood, Don Creech, Keith A. Glascoe, Randolph Scott, Michael Badalucco, Ellen Greene, Elizabeth Regen, Carl J. Matusovich, Frank Senger, Lucius Wyatt Cherokee, Eric Challier, Luc Bernard, Maïwenn"
The Prestige,"Jonathan Nolan, Christopher Nolan, Christopher Priest","Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine, Piper Perabo, Rebecca Hall, Samantha Mahurin, David Bowie, Andy Serkis, Daniel Davis, Jim Piddock, Christopher Neame, Mark Ryan, Roger Rees, Jamie Harris, Monty Stuart, Ron Perkins, Ricky Jay"
Back to the Future,"Robert Zemeckis, Bob Gale","Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Tom Wilson, Claudia Wells, Marc McClure, Wendie Jo Sperber, George DiCenzo, Frances Lee McCain, James Tolkan, J.J. Cohen, Casey Siemaszko, Billy Zane, Harry Waters Jr., Donald Fullilove, Lisa Freeman, Cristen Kauffman"
Psycho,"Joseph Stefano, Robert Bloch","Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam, John McIntire, Simon Oakland, Frank Albertson, Patricia Hitchcock, Vaughn Taylor, Lurene Tuttle, John Anderson, Mort Mills, Fletcher Allen, Walter Bacon, Prudence Beers, Kit Carson, Johnny Clark"
The Lion King,"Irene Mecchi, Jonathan Roberts, Linda Woolverton","Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg, Rowan Atkinson, Niketa Calame-Harris, Jim Cummings, Robert Guillaume, Moira Kelly, Nathan Lane, Zoe Leader, Cheech Marin, Ernie Sabella, Madge Sinclair, Jonathan Taylor Thomas, Frank Welker, Cathy Cavadini, Judi M. Durand"
American History X,David McKenna,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Ethan Suplee, Fairuza Balk, Avery Brooks, Elliott Gould, Stacy Keach, William Russ, Guy Torry, Joe Cortese, Jason Bose Smith, Antonio David Lyons, Alex Sol, Keram Malicki-Sánchez, Giuseppe Andrews, Michelle Christine White"
The Usual Suspects,Christopher McQuarrie,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin, Benicio Del Toro, Kevin Pollak, Pete Postlethwaite, Suzy Amis, Giancarlo Esposito, Dan Hedaya, Paul Bartel, Carl Bressler, Phillipe Simon, Jack Shearer, Christine Estabrook, Clark Gregg, Morgan Hunter, Ken Daly"
The Pianist,"Ronald Harwood, Wladyslaw Szpilman","Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox, Michal Zebrowski, Ed Stoppard, Maureen Lipman, Jessica Kate Meyer, Julia Rayner, Wanja Mues, Richard Ridings, Nomi Sharron, Anthony Milner, Lucy Skeaping, Roddy Skeaping, Ben Harlan, Thomas Lawinky, Joachim Paul Assböck"
Intouchables,"Olivier Nakache, Éric Toledano, Philippe Pozzo di Borgo","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot, Joséphine de Meaux, Clotilde Mollet, Alba Gaïa Bellugi, Cyril Mendy, Salimata Kamate, Absa Diatou Toure, Grégoire Oestermann, Dominique Daguier, François Caron, Christian Ameri, Thomas Solivérès, Dorothée Brière, Marie-Laure Descoureaux, Émilie Caen"
Maharaja,Nithilan Saminathan,"Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas, Natarajan Subramaniam, Abhirami, Divya Bharathi, Singampuli, Aruldoss, Munishkanth, Sachana Namidass, Vinod Sagar, Manigandan, Kaalaiyan, Lizzie Antony, Mullai Arasi, Bharathiraja, Thenappan P.L., Poovaiyar"
Grave of the Fireflies,"Akiyuki Nosaka, Isao Takahata","Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara, Kôzô Hashida, Masayo Sakai, Kazumi Nozaki, Yoshio Matsuoka, Masahiro Kanetake, Kiyoshi Yanagawa, Hajime Maki, Atsuo Omote, Teruhisa Harita, Hiroshi Tanaka, Michio Denpô, Shirô Tamaki, Tadashi Nakamura, Mika Sekita"
Casablanca,"Julius J. Epstein, Howard Koch, Murray Burnett","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois, Abdullah Abbas, Enrique Acosta, Ed Agresti, Arnet Amos"
C'era Una Volta Il West,"Sergio Donati, Sergio Leone, Dario Argento","Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards, Gabriele Ferzetti, Paolo Stoppa, Woody Strode, Jack Elam, Keenan Wynn, Frank Wolff, Lionel Stander, Livio Andronico, Salvatore Basile, Aldo Berti, Regina Elena Bisio, Joseph Bradley, Frank Braña, Marilù Carteny"
Cinema Paradiso,"Giuseppe Tornatore, Vanna Paoli","Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli, Leo Gullotta, Marco Leonardi, Pupella Maggio, Agnese Nano, Leopoldo Trieste, Salvatore Cascio, Tano Cimarosa, Nicola Di Pinto, Roberta Lena, Nino Terzo, Jacques Perrin, Nellina Laganà, Turi Giuffrida, Mariella Lo Giudice"
Rear Window,"John Michael Hayes, Cornell Woolrich","James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn, Ross Bagdasarian, Georgine Darcy, Sara Berner, Frank Cady, Jesslyn Fax, Rand Harper, Irene Winston, Havis Davenport, Jerry Antes, Barbara Bailey, Benny Bartlett, Nick Borgani"
Modern Times,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin, Hank Mann, Stanley Blystone, Al Ernest Garcia, Richard Alexander, Cecil Reynolds, Mira McKinney, Murdock MacQuarrie, Wilfred Lucas, Edward LeSaint, Fred Malatesta, Sammy Stein, Juana Sutton, Ted Oliver"
Dear Zachary: A Letter to a Son About His Father,Kurt Kuenne,"Kurt Kuenne, Andrew Bagby, David Bagby, Kathleen Bagby, Shirley Turner, Zachary Andrew Turner, Heather Arnold, Jon Atkinson, Bob Bagby, Earlene Bagby, James Bagby, Linda Bagby, Pat Bagby, Jason Baldwin, Derek Barnard, John Barnard, Paul Barnard, Pete Barnard"
City Lights,"Charles Chaplin, Harry Carr, Harry Crocker","Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Johnny Aber, Jack Alexander, T.S. Alexander, Victor Alexander, Albert Austin, Harry Ayers, Eddie Baker, Henry Bergman, Edward Biby, Betty Blair, Buster Brodie, Jeanne Carpenter"
Senna,Manish Pandey,"Ayrton Senna, Reginaldo Leme, John Bisignano, Neyde Senna, Richard Williams, Mili Okada, Ron Dennis, Viviane Senna, Alain Prost, Pierre Van Vliet, Vera Lucia Caixeta, Arnaldo Jabor, Xuxa, Jean-Marie Balestre, Martin Donnelly, Nelson Piquet, Jackie Stewart, Sid Watkins"
20 Days in Mariupol,Mstyslav Chernov,"Mstyslav Chernov, Evgeniy Maloletka, Liudmyla Amelkina, Roman Golovanov, Zhanna Homa, Oleksandr Ivanov, Irina Kalinina, Igor Konashenkov, Sergey Lavrov, Ernest Matskyavichyus, Vasiliy Nebenzya, Volodymyr Nikulin, Vladimir Putin, Anastasiya Yerashova, Volodymyr Zelenskyy"
Baraka,"Ron Fricke, Mark Magidson, Genevieve Nicholas",Patrick Disanto
Sita Ramam,"Hanu Raghavapudi, Jay Krishna, Raj Kumar Kandamudi","Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth, Bhoomika Chawla, Tharun Bhascker Dhaassyam, Sachin Khedekar, Jisshu Sengupta, Abhinaya, Shatru, Gautham Vasudev Menon, Vennela Kishore, Murli Sharma, Pawan Chopra, Prakash Raj, Tinnu Anand, Neeraj Kabi, Rukmini Vijay Kumar"
Woman in the Dunes,"Kôbô Abe, Eiko Yoshida","Eiji Okada, Kyôko Kishida, Kôji Mitsui, Hiroko Itô, Sen Yano, Ginzô Sekiguchi, Robert Dunham, Kiyohiko Ichihara, Hideo Kanze, Hiroyuki Nishimoto, Tamotsu Tamura"
96,"Charu Gupta, C. Prem Kumar, Sorif B. Mahmud","Vijay Sethupathi, Trisha Krishnan, Adithya Bhaskar, Gouri Kishan, Devadarshini Chetan, Niyathi Kadambi, Janakaraj, Bagavathi Perumal, Surya, Rajkumar, Murugadass, Gowthamraj, Varsha Bollamma, Kavithalaya Krishnan, Shyam Prasad, Naattu Raja Durai, Thousif Pasha, Rihan Thakur"
La meglio gioventù,"Sandro Petraglia, Stefano Rulli","Luigi Lo Cascio, Alessio Boni, Jasmine Trinca, Adriana Asti, Sonia Bergamasco, Fabrizio Gifuni, Maya Sansa, Valentina Carnelutti, Andrea Tidona, Lidia Vitale, Claudio Gioè, Paolo Bonanni, Giovanni Scifoni, Riccardo Scamarcio, Camilla Filippi, Mario Schiano, Michele Melega, Thérèse Vaddem"
The Fifth Seal,"Zoltán Fábri, Ferenc Sánta","Lajos Öze, László Márkus, Ferenc Bencze, Sándor Horváth, István Dégi, Zoltán Latinovits, Gábor Nagy, György Bánffy, József Vándor, Noémi Apor, Ildikó Pécsi, Marianna Moór, Rita Békés, György Cserhalmi, Gábor Kiss, Gabriella Kiss"
Intoxicated by Love,"Hasan Fathi, Farhad Tohidi","Parsa Pirouzfar, Shahab Hosseini, Hande Erçel, Burak Tozkoparan, Boran Kuzum, Bensu Soral, Selma Ergeç, Ibrahim Celikkol, Halit Ergenç, Hesam Manzour, Tokhir Meliev"
The Hole,"José Giovanni, Jacques Becker, Jean Aurel","André Bervil, Jean Keraudy, Michel Constantin, Philippe Leroy, Raymond Meunier, Marc Michel, Jean-Paul Coquelin, Eddy Rasimi, Albert Augier, Jean Becker, Mick Besson, Georges Bielec, Raymond Bour, Lucien Camiret, Philippe Dumat, Durieu, Gérard Hernandez, Jean Luisi"
Ningen no jôken,"Zenzô Matsuyama, Masaki Kobayashi, Jumpei Gomikawa","Tatsuya Nakadai, Michiyo Aratama, Chikage Awashima, Ineko Arima, Keiji Sada, Sô Yamamura, Akira Ishihama, Kôji Nanbara, Seiji Miyaguchi, Tôru Abe, Masao Mishima, Eitarô Ozawa, Kôji Mitsui, Akitake Kôno, Nobuo Nakamura, Kyû Sazanka, Eijirô Tôno, Yasushi Nagata"
Kumbalangi Nights,Syam Pushkaran,"Shane Nigam, Soubin Shahir, Fahadh Faasil, Sreenath Bhasi, Mathew Thomas, Ramesh Thilak, Anna Ben, Jasmine Metivier, Grace Antony, Sheela Rajkumar, Riah Sarah, Ambika Rao, Baiju Ezhupunna, Hossein Rahmani Manesh, Mirage, Ajith Moorkoth, Lali P.M., Ansal Palluruthy"
For Sama,"Waad Al-Kateab, Sama Al-Khateab, Hamza Al-Khateab","Waad Al-Kateab, Sama Al-Khateab, Hamza Al-Khateab, Afra, Salim, Wisam, Zain, Naya, Taima Al-Khateab, Dana Abed, Tia Alkerdi, Yara Ibrahim"
Jersey,Gowtam Tinnanuri,"Nani, Shraddha Srinath, Sathyaraj, Ronit Kamra, Harish Kalyan, Viswant Duddumpudi, Shishir Sharma, Praveen, Sanusha, Brahmaji, V. Jayaprakash, Sampath Raj, Rao Ramesh, Sanjay Swaroop, Naveen Neni, Komaram Jabardasth, Krishna Teja, Sowmya"
Sarpatta Parambarai,"Tamizh Prabha, Pa. Ranjith","Arya, Pasupathy, John Kokken, Shabeer Kallarakkal, Dushara Vijayan, Anupama Kumar, Kalaiyarasan, Santhosh Prathap, John Vijay, Priyadarshini Rajkumar, G.M. Sundar, Vettai Muthukumar, Sanchana Natarajan, Geetha Kailasam, Kaali Venkat, Tiger Thangadurai, Kishore Kumar G., Abdhul"
Ningen no jôken,"Zenzô Matsuyama, Masaki Kobayashi, Jumpei Gomikawa","Tatsuya Nakadai, Michiyo Aratama, Kokinji Katsura, Jun Tatara, Michirô Minami, Kei Satô, Kunie Tanaka, Ryôhei Uchida, Kan Yanagiya, Kenjirô Uemura, Kaneko Iwasaki, Mayumi Kurata, Taketoshi Naitô, Hideo Kidokoro, Yoshiaki Aoki, Rô Ose, Tamotsu Tamura, Ryoji Ito"
Michael Madana Kama Rajan,"Kamal Haasan, Kader Kashmiri, Crazy Mohan","Kamal Haasan, Urvashi, Komal Mahuvakar, Khushbu Sundar, Nagesh, Delhi Ganesh, Anannthu, Santhana Bharathi, Typist Gopu, Jayabharathi, R.N. Jayagopal, S.N. Lakshmi, Aachi Manorama, Mayilsamy, Crazy Mohan, Venniradai Moorthy, Nassar, Ponnambalam"
Aaranya Kaandam,Thiagarajan Kumararaja,"Sampath Raj, Jackie Shroff, Ravi Krishna, Yasmin Ponnappa, Rambo Raj Kumar, Somasundaram, Guru Somasundaram, Master Vasanth, Ajay Raj, Alex, Boxer Arumugam, Sai Dheena, Jayashree, K Karthikeyan, Five Star Krishna, Shakul Master, Krishnakumar Ramakumar, Ramesh"
Madar,Ali Hatami,"Rogheyeh Chehreh-Azad, Mohamad Ali Keshavarz, Farimah Farjami, Amin Tarokh, Akbar Abdi, Hamid Jebeli, Jamshid Hashempur, Hossein Kasbian, Hamideh Kheirabadi, Mahbubeh Bayat, Akram Mohammadi, Mohammad Abhari, Mahmoud Basiri, Mir Salah Hosseini, Mahmood Lotfi, Bahador Ebrahimi"
