title,genre,popularity
Solaris,"Drama,Science Fiction,Mystery",11.956
Kill Bill: Vol. 2,"Action,Crime,Thriller",36.306
The Theory of Everything,"Drama,Romance",33.618
Umberto D.,Drama,8.132
Shoplifters,Drama,14.373
Titanic,"Drama,Romance",161.931
Safety Last!,"Comedy,Romance,Action",7.928
Joint Security Area,"War,Drama,Thriller,Action",12.609
Le Samouraï,"Crime,Thriller",12.288
Evangelion: 2.0 You Can (Not) Advance,"Animation,Science Fiction,Action,Drama",30.334
Rififi,"Drama,Action,Crime",8.753
Dune,"Science Fiction,Adventure",216.157
Network,Drama,10.745
The Miracle Worker,Drama,6.016
Stand by Me,"Crime,Drama",21.683
A Bag of Marbles,"War,Drama",7.65
Anatomy of a Murder,"Crime,Drama,Mystery,Thriller",13.772
Werckmeister Harmonies,Drama,9.083
Isle of Dogs,"Adventure,Comedy,Animation",18.433
Her,"Romance,Science Fiction,Drama",27.412
Millennium Actress,"Animation,Drama,Romance",13.83
Rurouni Kenshin: The Final,"Action,Adventure,Drama",62.242
Feast,"Animation,Comedy,Drama,Family",8.069
Hustle,"Drama,Comedy",966.604
Cindy La Regia,"Comedy,Romance",13.303
No Game No Life: Zero,"Animation,Action,Drama",50.661
Hiroshima Mon Amour,"Drama,History,Romance",13.006
Knives Out,"Comedy,Crime,Mystery",55.712
Drishyam,"Crime,Drama,Thriller,Mystery",6.715
Papillon,"Crime,Drama",17.457
We Bare Bears: The Movie,"Animation,Adventure,Family,Comedy,TV Movie",85.597
King Richard,"Drama,History",88.414
Through a Glass Darkly,Drama,7.207
Mulholland Dr.,"Thriller,TV Movie,Drama,Mystery",7.148
Kagemusha,"Action,Drama,History,War",12.106
We Are the Nobles,Comedy,43.243
Dances with Wolves,"Adventure,Drama,Western",23.701
The Normal Heart,Drama,8.249
Mary and Max,"Animation,Comedy,Drama",12.492
The Boy in the Striped Pyjamas,"War,Drama,History",80.111
A Beautiful Mind,"Drama,Romance",35.547
Polisse,"Drama,Thriller",7.433
The Ox-Bow Incident,Western,10.808
Elite Squad: The Enemy Within,"Drama,Action,Crime",22.556
Mr. Nobody,"Science Fiction,Drama,Romance,Fantasy",20.672
Ben-Hur,"Action,Drama,History",34.717
The Grapes of Wrath,Drama,11.375
Anonymously Yours,"Drama,Romance",50.904
Wild Tales,"Drama,Thriller,Comedy",21.016
Vivre Sa Vie,Drama,10.169
Grand Illusion,"Drama,History,War",7.248
Wings of Desire,"Drama,Fantasy,Romance",10.925
The Big Lebowski,"Comedy,Crime",24.165
The Marquis of Grillo,Comedy,5.543
Partly Cloudy,"Animation,Family,Comedy",8.872
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"Animation,Science Fiction,Music,Adventure",11.173
Warrior,"Drama,Action",76.067
Don't Be Bad,"Crime,Drama",6.897
The Best Offer,"Drama,Romance,Crime",10.673
The Phantom Carriage,"Drama,Fantasy,Horror",11.533
Kiki's Delivery Service,"Animation,Family,Fantasy,Adventure",42.865
Carlito's Way,"Crime,Thriller,Drama",17.871
Kabhi Khushi Kabhie Gham,"Comedy,Drama",16.124
An Autumn Afternoon,Drama,10.399
The Nightmare Before Christmas,"Fantasy,Animation,Family",83.129
Jujutsu Kaisen 0,"Animation,Action,Fantasy",1444.117
Dragon Ball Super: Broly,"Action,Science Fiction,Animation",131.817
"Love, Rosie","Comedy,Romance",64.502
