Book,Author,Genres
Shane,Jack Schaefer,"['Westerns', 'Fiction', 'Classics', 'Historical Fiction', 'Young Adult', 'Historical', 'Adventure']"
"Smile (Smile, #1)",Raina Telgemeier,"['Graphic Novels', 'Middle Grade', 'Young Adult', 'Comics', 'Realistic Fiction', 'Childrens', 'Fiction']"
"A Return to Love: Reflections on the Principles of ""A Course in Miracles""",Marianne Williamson,"['Spirituality', 'Self Help', 'Nonfiction', 'Personal Development', 'Philosophy', 'Inspirational', 'Psychology']"
"Cress (The Lunar Chronicles, #3)",Marissa Meyer,"['Fantasy', 'Young Adult', 'Science Fiction', 'Romance', 'Retellings', 'Dystopia', 'Fiction']"
Into the Water,Paula Hawkins,"['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Crime']"
"Sexus (The Rosy Crucifixion, #1)",Henry Miller,"['Fiction', 'Classics', 'Literature', 'Novels', 'Erotica', 'American', '20th Century']"
The Assiduous Quest of Tobias Hopkins: Part Three: The Dutchman,James Faro,[]
Voluntary Madness,Vicki Hendricks,"['Fiction', 'Noir', 'Mystery', 'Crime']"
"Goodbye, Things: The New Japanese Minimalism",Fumio Sasaki,"['Nonfiction', 'Self Help', 'Audiobook', 'Philosophy', 'Japan', 'Personal Development', 'Psychology']"
The Lottery,Shirley Jackson,"['Short Stories', 'Classics', 'Horror', 'Fiction', 'Dystopia', 'School', 'Read For School']"
The Mindful Path to Self-Compassion: Freeing Yourself from Destructive Thoughts and Emotions,Christopher K. Germer,"['Self Help', 'Psychology', 'Nonfiction', 'Spirituality', 'Mental Health', 'Buddhism', 'Personal Development']"
Wretched:,Katherine Marple,[]
"The Lemon Tree: An Arab, a Jew, and the Heart of the Middle East",Sandy Tolan,"['Nonfiction', 'History', 'Politics', 'Israel', 'Memoir', 'Religion', 'Historical']"
The Black Obelisk,Erich Maria Remarque,"['Fiction', 'Classics', 'German Literature', 'Historical Fiction', 'War', 'Germany', 'Novels']"
Brain on Fire: My Month of Madness,Susannah Cahalan,"['Nonfiction', 'Memoir', 'Psychology', 'Biography', 'Mental Health', 'Audiobook', 'Science']"
Next,Michael Crichton,"['Fiction', 'Science Fiction', 'Thriller', 'Mystery', 'Suspense', 'Novels', 'Science Fiction Fantasy']"
"The Magic (The Secret, #3)",Rhonda Byrne,"['Self Help', 'Nonfiction', 'Spirituality', 'Personal Development', 'Psychology', 'Philosophy', 'Inspirational']"
"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Epic', 'Science Fiction Fantasy', 'Dark Fantasy']"
Mother Courage and Her Children,Bertolt Brecht,"['Plays', 'Classics', 'Drama', 'German Literature', 'Fiction', 'Theatre', 'School']"
"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Middle Grade', 'Childrens', 'Adventure']"
Everyday Sexism,Laura Bates,"['Nonfiction', 'Feminism', 'Politics', 'Womens', 'Gender', 'Social Justice', 'Sociology']"
The Power of a Praying Husband,Stormie Omartian,"['Marriage', 'Prayer', 'Christian', 'Religion', 'Spirituality', 'Christianity', 'Faith']"
"Dom Wars: Round Four (Dom Wars, #4)",Lucian Bane,"['BDSM', 'Erotica', 'Romance', 'Humor', 'Erotic Romance', 'M F Romance', 'Contemporary']"
The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,Sean Covey,"['Self Help', 'Nonfiction', 'Psychology', 'Personal Development', 'Parenting', 'School', 'Education']"
"Incarceron (Incarceron, #1)",Catherine Fisher,"['Fantasy', 'Young Adult', 'Dystopia', 'Science Fiction', 'Steampunk', 'Fiction', 'Adventure']"
Sundays at Tiffany's,James Patterson,"['Romance', 'Fiction', 'Chick Lit', 'Fantasy', 'Contemporary', 'Adult', 'Adult Fiction']"
"Map of Bones (Sigma Force, #2)",James Rollins,"['Thriller', 'Fiction', 'Adventure', 'Mystery', 'Action', 'Suspense', 'Mystery Thriller']"
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,"['Philosophy', 'Nonfiction', 'Self Help', 'Business', 'Personal Development', 'Psychology', 'Leadership']"
The Blood of Flowers,Anita Amirrezvani,"['Historical Fiction', 'Fiction', 'Iran', 'Historical', 'Audiobook', 'Romance', '17th Century']"
Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Post Apocalyptic', 'Adventure', 'Classics']"
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Young Adult Fantasy', 'LGBT', 'Magic']"
"Across the Universe (Across the Universe, #1)",Beth Revis,"['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Mystery']"
"Illuminae (The Illuminae Files, #1)",Amie Kaufman,"['Science Fiction', 'Young Adult', 'Romance', 'Fantasy', 'Fiction', 'Dystopia', 'Audiobook']"
Fantastic Beasts and Where to Find Them,Newt Scamander,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Magic', 'Middle Grade', 'Audiobook']"
Brown Girl Dreaming,Jacqueline Woodson,"['Poetry', 'Memoir', 'Nonfiction', 'Middle Grade', 'Biography', 'Audiobook', 'Childrens']"
The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,Naoki Higashida,"['Nonfiction', 'Autistic Spectrum Disorder', 'Memoir', 'Psychology', 'Biography', 'Biography Memoir', 'Japan']"
"Kiss Me, Judas",Will Christopher Baer,"['Fiction', 'Mystery', 'Noir', 'Crime', 'Thriller', 'Contemporary', 'Novels']"
A Constellation of Vital Phenomena,Anthony Marra,"['Fiction', 'Historical Fiction', 'War', 'Russia', 'Literary Fiction', 'Historical', 'Contemporary']"
The Night Before,Wendy   Walker,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Suspense', 'Psychological Thriller', 'Adult']"
Nine Perfect Strangers,Liane Moriarty,"['Fiction', 'Audiobook', 'Contemporary', 'Mystery', 'Thriller', 'Chick Lit', 'Adult']"
"Abhorsen (Abhorsen, #3)",Garth Nix,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Young Adult Fantasy', 'Adventure', 'High Fantasy']"
The Power,Naomi Alderman,"['Fiction', 'Science Fiction', 'Feminism', 'Dystopia', 'Fantasy', 'Audiobook', 'Speculative Fiction']"
Guest Book,Meik Wiking,"['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Philosophy', 'Personal Development', 'Health']"
The Places That Scare You: A Guide to Fearlessness in Difficult Times,Pema Chödrön,"['Nonfiction', 'Buddhism', 'Spirituality', 'Self Help', 'Philosophy', 'Psychology', 'Religion']"
"Ringworld (Ringworld, #1)",Larry Niven,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Space Opera', 'Audiobook']"
"The Blade Itself (The First Law, #1)",Joe Abercrombie,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Dark Fantasy', 'Audiobook']"
"Love, Rosie",Cecelia Ahern,"['Romance', 'Chick Lit', 'Contemporary', 'Fiction', 'Adult', 'Young Adult', 'Contemporary Romance']"
The Contortionist's Handbook,Craig Clevenger,"['Fiction', 'Thriller', 'Crime', 'Contemporary', 'Noir', 'Novels', 'Mystery']"
Night Train,Martin Amis,"['Fiction', 'Mystery', 'Crime', 'Novels', 'Contemporary', 'Literary Fiction', 'Noir']"
Leadership Lessons From Mom,Mark Villareal,"['Nonfiction', 'Book Club', 'How To']"
"Casino Royale (James Bond, #1)",Ian Fleming,"['Fiction', 'Thriller', 'Classics', 'Mystery', 'Espionage', 'Adventure', 'Crime']"
the sun and her flowers,Rupi Kaur,"['Poetry', 'Feminism', 'Nonfiction', 'Adult', 'Contemporary', 'Romance', 'Mental Health']"
Black Ice,Stephen Tesher,"['Fiction', 'Contemporary']"
Finding Your Own North Star: Claiming the Life You Were Meant to Live,Martha N. Beck,"['Self Help', 'Nonfiction', 'Personal Development', 'Psychology', 'Spirituality', 'Inspirational', 'Philosophy']"
Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"['Business', 'Nonfiction', 'Psychology', 'Self Help', 'Personal Development', 'Communication', 'Leadership']"
"The Power (The Secret, #2)",Rhonda Byrne,"['Self Help', 'Nonfiction', 'Spirituality', 'Personal Development', 'Psychology', 'Inspirational', 'Philosophy']"
The Egg,Andy Weir,"['Short Stories', 'Fiction', 'Science Fiction', 'Philosophy', 'Fantasy', 'Religion', 'Spirituality']"
The Tales of Peter the Pixie Vol 1: New Friends,Gary Edward Gedall,"['Drama', 'Fiction', 'Contemporary', 'Novels']"
"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,"['Horror', 'Fantasy', 'Vampires', 'Fiction', 'Paranormal', 'Supernatural', 'Urban Fantasy']"
"The 100 (The 100, #1)",Kass Morgan,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Romance', 'Fantasy', 'Post Apocalyptic']"
Sister Outsider: Essays and Speeches,Geraldine Audre Lorde,"['Feminism', 'Nonfiction', 'Essays', 'Race', 'LGBT', 'Queer', 'Social Justice']"
"Wicked Lovely (Wicked Lovely, #1)",Melissa Marr,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fae', 'Fairies']"
Alternatives to a Frozen Mouse,A.J. Mouse,"['Nonfiction', 'True Story', 'Memoir', 'Self Help', 'Adventure', 'Humor', 'Biography']"
White Collar Blackmail,Peter   Ralph,"['New Adult', 'Crime', 'Contemporary', 'Adult', 'Fiction', 'Mystery', 'Thriller']"
The Coma,Alex Garland,"['Fiction', 'Mystery', 'Horror', 'Contemporary', 'Thriller', 'Fantasy', 'Novels']"
March,Geraldine Brooks,"['Historical Fiction', 'Fiction', 'Civil War', 'Historical', 'War', 'Literary Fiction', 'Book Club']"
"A Column of Fire (Kingsbridge, #3)",Ken Follett,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'British Literature', 'Fantasy', 'Adult']"
"Blood for Blood (Ziba MacKenzie, #1)",Victoria Selman,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense', 'Amazon']"
Worker Cooperatives and Revolution: History and Possibilities in the United States,Chris    Wright,"['Nonfiction', 'History', 'Economics', 'Politics', 'How To']"
Lock Every Door,Riley Sager,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Horror', 'Audiobook', 'Adult']"
"The Trapped Girl (Tracy Crosswhite, #4)",Robert Dugoni,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Audiobook', 'Suspense']"
Ballet Shoes,Noel Streatfeild,"['Classics', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Historical Fiction', 'British Literature']"
"The Black Echo (Harry Bosch Universe, #1)",Michael Connelly,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Detective', 'Audiobook']"
The Wright Brothers,David McCullough,"['History', 'Biography', 'Nonfiction', 'American History', 'Aviation', 'Audiobook', 'Science']"
"Slave (Finding Anna, #1)",Sherri Hayes,"['BDSM', 'Dark', 'Romance', 'Erotica', 'Abuse', 'Adult', 'Contemporary']"
Selected Stories of Anton Chekhov,Anton Chekhov,"['Short Stories', 'Classics', 'Fiction', 'Russia', 'Russian Literature', 'Literature', '19th Century']"
The Last Juror,John Grisham,"['Fiction', 'Thriller', 'Mystery', 'Crime', 'Legal Thriller', 'Suspense', 'Mystery Thriller']"
The Dreamers,Gilbert Adair,"['Fiction', 'Historical Fiction', 'LGBT', 'Contemporary', 'France', 'British Literature', 'Literature']"
"The Body Reader (Detective Jude Fontaine Mysteries, #1)",Anne Frasier,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Suspense', 'Mystery Thriller', 'Audiobook']"
Out Stealing Horses,Per Petterson,"['Fiction', 'Historical Fiction', 'Scandinavian Literature', 'Novels', 'Literary Fiction', 'Book Club', 'Contemporary']"
The Sacred Band,Janet E. Morris,"['Fantasy', 'Historical Fiction', 'Historical Fantasy', 'Heroic Fantasy', 'Fiction', 'Sword and Sorcery', 'Adventure']"
No More Mr. Nice Guy,Robert A. Glover,"['Self Help', 'Psychology', 'Nonfiction', 'Relationships', 'Personal Development', 'Philosophy', 'Audiobook']"
Without Feathers,Woody Allen,"['Humor', 'Fiction', 'Short Stories', 'Comedy', 'Essays', 'American', 'Literature']"
Sputnik Sweetheart,Haruki Murakami,"['Fiction', 'Japan', 'Japanese Literature', 'Magical Realism', 'Contemporary', 'Romance', 'Novels']"
The Day of the Locust,Nathanael West,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', '20th Century', 'Literary Fiction']"
Tidal Mist,Honor Donohoe,"['Contemporary', 'Young Adult', 'Adult', 'New Adult', 'Fiction', 'Adventure', 'Novels']"
Another Sunny Day,D.K.  Janotta,[]
Existentialism is a Humanism,Jean-Paul Sartre,"['Philosophy', 'Nonfiction', 'France', 'Classics', 'Essays', 'French Literature', 'Theory']"
"Night Fall (John Corey, #3)",Nelson DeMille,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Mystery Thriller', 'Crime', 'Audiobook']"
The Comedy of Errors,William Shakespeare,"['Classics', 'Plays', 'Drama', 'Fiction', 'Theatre', 'Poetry', 'Comedy']"
"It's Not How Good You Are, It's How Good You Want To Be",Paul Arden,"['Nonfiction', 'Self Help', 'Business', 'Design', 'Personal Development', 'Psychology', 'Productivity']"
"The Ersatz Elevator (A Series of Unfortunate Events, #6)",Lemony Snicket,"['Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Fantasy', 'Mystery', 'Adventure']"
"The Butterfly Garden  (The Collector, #1)",Dot Hutchison,"['Thriller', 'Horror', 'Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Suspense']"
A Love Story How God Pursued Me and Found Me: An Impossibly True Story,Samantha Ryan Chandler,"['Christian', 'Nonfiction', 'New Adult', 'Inspirational', '21st Century', 'Drama', 'Self Help']"
The Time Traveller's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century,Ian Mortimer,"['History', 'Nonfiction', 'Medieval', 'Historical', 'British Literature', 'Medieval History', 'Travel']"
A Painted House,John Grisham,"['Fiction', 'Mystery', 'Historical Fiction', 'Thriller', 'Suspense', 'Novels', 'Historical']"
Feed,M.T. Anderson,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Teen', 'Fantasy', 'Audiobook']"
The Feast of the Goat,Mario Vargas Llosa,"['Fiction', 'Historical Fiction', 'Novels', 'Spanish Literature', 'Latin American', 'Literature', 'Nobel Prize']"
"Nemesis (Harry Hole, #4)",Jo Nesbø,"['Crime', 'Mystery', 'Fiction', 'Thriller', 'Detective', 'Mystery Thriller', 'Scandinavian Literature']"
Public Information,Rolf Margenau,"['War', 'Drama', 'Adventure', 'Mystery', 'Military Fiction', 'Mystery Thriller', 'Fiction']"
"My Brilliant Friend (The Neapolitan Novels, #1)",Elena Ferrante,"['Fiction', 'Historical Fiction', 'Italy', 'Italian Literature', 'Literary Fiction', 'Contemporary', 'Audiobook']"
Decluttering at the Speed of Life: Winning Your Never-Ending Battle with Stuff,Dana K. White,"['Nonfiction', 'Self Help', 'Audiobook', 'Personal Development', 'How To', 'Adult', 'Productivity']"
Gulp: Adventures on the Alimentary Canal,Mary Roach,"['Nonfiction', 'Science', 'Humor', 'Audiobook', 'Food', 'Health', 'Biology']"
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Charles Duhigg,"['Nonfiction', 'Business', 'Self Help', 'Productivity', 'Psychology', 'Personal Development', 'Audiobook']"
"The Ask and the Answer (Chaos Walking, #2)",Patrick Ness,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fantasy', 'Fiction', 'Adventure', 'Teen']"
I Will Wait for You: Eternal Bliss,Linda Masemore Pirrung,['Romance']
Nothing Can Come Between Us,Cherlina Works,"['Novels', 'Fiction', 'Contemporary', 'Adult', 'Young Adult', 'Romance', 'Mystery']"
"Heist Society (Heist Society, #1)",Ally Carter,"['Young Adult', 'Mystery', 'Contemporary', 'Romance', 'Fiction', 'Adventure', 'Teen']"
Gaudy Night,Dorothy L. Sayers,"['Mystery', 'Fiction', 'Classics', 'Crime', 'Romance', 'Mystery Thriller', 'British Literature']"
The Rooster Bar,John Grisham,"['Fiction', 'Mystery', 'Thriller', 'Audiobook', 'Legal Thriller', 'Crime', 'Mystery Thriller']"
Tell Me Everything,Cambria Brockman,"['Fiction', 'Thriller', 'Mystery', 'Mystery Thriller', 'Suspense', 'Adult', 'Contemporary']"
Miracle Creek,Angie  Kim,"['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Contemporary', 'Audiobook', 'Adult']"
Closer,Dennis Cooper,"['Fiction', 'LGBT', 'Queer', 'Horror', 'Gay', 'Novels', 'Contemporary']"
"Children of the Mind (Ender's Saga, #4)",Orson Scott Card,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Young Adult', 'Space', 'Audiobook']"
The Futurological Congress: From the Memoirs of Ijon Tichy,Stanisław Lem,"['Science Fiction', 'Fiction', 'Polish Literature', 'Dystopia', 'Humor', 'Fantasy', 'Science Fiction Fantasy']"
"A Swiftly Tilting Planet (Time Quintet, #3)",Madeleine L'Engle,"['Fantasy', 'Young Adult', 'Fiction', 'Science Fiction', 'Childrens', 'Classics', 'Middle Grade']"
"Wicked Betrayal (New England Witch Chronicles, #3)",Chelsea Luna,"['Young Adult', 'Fantasy', 'Witches', 'Paranormal', 'Romance', 'Magic', 'Paranormal Romance']"
"Choose Yourself: Be Happy, Make Millions, Live the Dream",James Altucher,"['Business', 'Self Help', 'Nonfiction', 'Personal Development', 'Entrepreneurship', 'Psychology', 'Productivity']"
On Chesil Beach,Ian McEwan,"['Fiction', 'Historical Fiction', 'Contemporary', 'Literary Fiction', 'Romance', 'British Literature', 'Novels']"
The First Mistake,Sandie Jones,"['Thriller', 'Mystery', 'Fiction', 'Suspense', 'Mystery Thriller', 'Audiobook', 'Psychological Thriller']"
The Georgia Express: A Tale of the Civil War,Phillip Urlevich,"['Drama', 'Contemporary']"
Ireland,Frank Delaney,"['Historical Fiction', 'Fiction', 'Ireland', 'Irish Literature', 'Historical', 'Audiobook', 'Travel']"
Cracked Hearts,Linda Masemore Pirrung,"['Romance', 'Mystery', 'Psychology']"
"One Shot (Jack Reacher, #9)",Lee Child,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Suspense', 'Action', 'Mystery Thriller']"
"Elantris (Elantris, #1)",Brandon Sanderson,"['Fantasy', 'Fiction', 'High Fantasy', 'Epic Fantasy', 'Adult', 'Audiobook', 'Magic']"
"Dune Messiah (Dune, #2)",Frank Herbert,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Space Opera', 'Audiobook']"
Salt to the Sea,Ruta Sepetys,"['Historical Fiction', 'Young Adult', 'Historical', 'Fiction', 'World War II', 'War', 'Audiobook']"
"Hometown Girl After All (Hometown, #2)",Kirsten Fullmer,"['Contemporary', 'Young Adult', 'New Adult', 'Fiction', 'Adult', 'Love Story', 'Romance']"
I'm With You,Allie Frost,"['Young Adult', 'Fantasy', 'Adventure', 'New Adult', 'Fiction', 'Adult', 'Science Fiction Fantasy']"
The Book of Laughter and Forgetting,Milan Kundera,"['Fiction', 'Czech Literature', 'Literature', 'Novels', 'Classics', 'Philosophy', 'Short Stories']"
Chesapeake,James A. Michener,"['Historical Fiction', 'Fiction', 'Historical', 'American History', 'Classics', 'Novels', 'Adventure']"
Claire,L.C. Conn,"['Fantasy', 'Young Adult', 'Novels', 'Magic', 'Fiction', 'Adventure', 'Adult']"
